website	linkUrl
AnVIL Book: Getting Started	https://support.google.com/accounts/answer/185839?co=GENIE.Platform%3DDesktop&hl=en
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/19124069598235-Access-controlled-data-files-by-linking-y
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360025851892-Reader-writer-or-owner-Workspace-access-con
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360026775691-Managing-data-privacy-and-access-with-Autho
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360029071251
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360029186611
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360037117492-Getting-started-with-WDL
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360038086332-Linking-Terra-to-External-Servers
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360043454592-Workflows-Quickstart-Part-1-Run-pre-configu
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360050390451
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/sections/360004147951
AnVIL Book: Getting Started	https://www.genome.gov/Funded-Programs-Projects/NHGRI-Genome-Sequencing-Program/Centers-for-Mendelia
AnVIL Book: Getting Started	https://www.sciencedirect.com/science/article/pii/S2666979X21001063
AnVIL Book: Getting Started	https://www.youtube.com/watch?v=RtcW2Zdn_28
AnVIL Book: Getting Started	https://youtube.com/watch?v=Hh5tcnwubSg
AnVIL Book: Getting Started	https://youtube.com/watch?v=ONc1Wf7rEuw
AnVIL Book: Getting Started	https://youtube.com/watch?v=Vr7GH_h49ts
AnVIL Book: Instructor Guide	
AnVIL Book: Instructor Guide	https://accounts.google.com/SignUp
AnVIL Book: Instructor Guide	https://anvil.terra.bio/
AnVIL Book: Instructor Guide	https://anvilproject.org/
AnVIL Book: Instructor Guide	https://cloud.google.com/compute/all-pricing
AnVIL Book: Instructor Guide	https://cloud.google.com/free/docs/gcp-free-tier/
AnVIL Book: Instructor Guide	https://console.cloud.google.com/
AnVIL Book: Instructor Guide	https://datascience.nih.gov/strides
AnVIL Book: Instructor Guide	https://docs.google.com/document/d/1-HqQqH_qlkHwRua8-b92MyKQcEmcl0Nk37rSYqP49aw/edit
AnVIL Book: Instructor Guide	https://docs.google.com/document/d/145JFLn2hviLmaYF-mO06gbCkG0i4HRaWvkUBKORo85Y/edit
AnVIL Book: Instructor Guide	https://docs.google.com/spreadsheets/d/1GUN93HDRqDbZ0uktaZjoP-y8Ril1T_VIJnQrjRD6tV4
AnVIL Book: Instructor Guide	https://git-scm.com/docs/git-add/en
AnVIL Book: Instructor Guide	https://git-scm.com/docs/git-commit
AnVIL Book: Instructor Guide	https://git-scm.com/docs/git-remote
AnVIL Book: Instructor Guide	https://help.anvilproject.org/
AnVIL Book: Instructor Guide	https://hutchdatascience.org/AnVIL_Collection/
AnVIL Book: Instructor Guide	https://support.google.com/code/contact/billing_quota_increase
AnVIL Book: Instructor Guide	https://support.terra.bio/hc/en-us/articles/360029186611
AnVIL Book: Instructor Guide	https://support.terra.bio/hc/en-us/articles/6101030164507-When-workspace-creation-fails-Google-proje
AnVIL Book: Instructor Guide	https://support.terra.bio/hc/en-us/requests/new
AnVIL Book: Molecular Phylogenetic Techniques	
AnVIL Book: Molecular Phylogenetic Techniques	http://bioconductor.org/packages/release/bioc/html/DECIPHER.html
AnVIL Book: Molecular Phylogenetic Techniques	http://jonathancrabtree.github.io/Circleator/tutorials/gb_annotation/gb_download.html
AnVIL Book: Molecular Phylogenetic Techniques	http://timetree.org/
AnVIL Book: Molecular Phylogenetic Techniques	http://www.deduveinstitute.be/~opperd/private/neighbor.html
AnVIL Book: Molecular Phylogenetic Techniques	https://anvilproject.org/
AnVIL Book: Molecular Phylogenetic Techniques	https://bioconductor.org/packages/release/bioc/vignettes/Glimma/inst/doc/limma_edger.html
AnVIL Book: Molecular Phylogenetic Techniques	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PROGRAM=blastn&PAGE_TYPE=BlastSearch&LINK_LOC=blasthome
AnVIL Book: Molecular Phylogenetic Techniques	https://bookdown.org/
AnVIL Book: Molecular Phylogenetic Techniques	https://carnegiescience.edu/frederick-tan
AnVIL Book: Molecular Phylogenetic Techniques	https://cran.r-project.org/web/packages/phangorn/phangorn.pdf
AnVIL Book: Molecular Phylogenetic Techniques	https://cran.r-project.org/web/packages/phytools/phytools.pdf
AnVIL Book: Molecular Phylogenetic Techniques	https://creativecommons.org/licenses/by/4.0/
AnVIL Book: Molecular Phylogenetic Techniques	https://docs.google.com/forms/d/e/1FAIpQLScrDVb_utm55pmb_SHx-RgELTEbCCWdLea0T3IzS0Oj00GE4w/viewform?
AnVIL Book: Molecular Phylogenetic Techniques	https://github.com/jhudsl/OTTR_Template
AnVIL Book: Molecular Phylogenetic Techniques	https://hutchdatascience.org/AnVIL_Collection/
AnVIL Book: Molecular Phylogenetic Techniques	https://www.avahoffman.com/
AnVIL Book: Molecular Phylogenetic Techniques	https://www.bioinformatics.org/sms/iupac.html
AnVIL Book: Molecular Phylogenetic Techniques	https://www.ncbi.nlm.nih.gov/
AnVIL Book: Molecular Phylogenetic Techniques	https://www.rdocumentation.org/packages/phytools/versions/1.0-3/topics/contMap
AnVIL Book: Molecular Phylogenetic Techniques	https://www.sciencedirect.com/science/article/pii/S2666979X21001063
AnVIL Book: SRA Data	
AnVIL Book: SRA Data	https://anvilproject.org/
AnVIL Book: SRA Data	https://bookdown.org/
AnVIL Book: SRA Data	https://raw.githubusercontent.com/fhdsl/AnVIL_SRA_Data/main/samples.tsv
AnVIL Book: SRA Data	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP409181&o=acc_s%3Aa
AnVIL Book: SRA Data	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA904247
AnVIL Book: SRA Data	https://www.sciencedirect.com/science/article/pii/S2666979X21001063
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://anvil.terra.bio/
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://bioconductor.org/packages/release/bioc/vignettes/Glimma/inst/doc/limma_edger.html
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://datascience.nih.gov/strides
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://docs.google.com/presentation/d/1d3ZpAOpzNR1QxeUwZrrinGQl9e8vOokGWZmzzexQ6sM/edit?usp=sharing
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://docs.google.com/presentation/d/1eypYLLqD11-NwHLs4adGpcuSB07dYEJfAaALSMvgzqw
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://docs.google.com/presentation/d/1meLiZzX1TSPvSOMwOSXUX9FyM82fZk1iqGpF3j6PsNM/edit?usp=sharing
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://onlinelibrary.wiley.com/doi/epdf/10.1111/eva.12972
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://www.youtube.com/watch?v=FgakZw6K1QQ&t=75s
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	https://www.youtube.com/watch?v=HMOI_lkzW08
AnVIL CoFests 2024	
AnVIL CoFests 2024	https://anvil.terra.bio/
AnVIL CoFests 2024	https://anvilproject.org/
AnVIL CoFests 2024	https://anvilproject.org/events/anvil2024-community-conference
AnVIL CoFests 2024	https://docs.google.com/document/d/1wLK88p_tY6L-a8IF5dIe7gmDlJC1RxeU8_pm1ClU2IE/edit?usp=sharing
AnVIL CoFests 2024	https://docs.google.com/forms/d/e/1FAIpQLScrDVb_utm55pmb_SHx-RgELTEbCCWdLea0T3IzS0Oj00GE4w/viewform?
AnVIL CoFests 2024	https://docs.google.com/presentation/d/1s83zP55EZTl0HmXCp0mO97JQmDNR1sTiDr_931aO6RE/edit?usp=sharing
AnVIL CoFests 2024	https://galaxyproject.org/events/cofests
AnVIL CoFests 2024	https://galaxyproject.org/events/gcc2023/cofest/
AnVIL CoFests 2024	https://hutchdatascience.org/
AnVIL CoFests 2024	https://hutchdatascience.org/AnVIL_Collection/
AnVIL Collection	
AnVIL Collection	http://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_scRNA-seq/
AnVIL Collection	https://anvilproject.org/
AnVIL Collection	https://creativecommons.org/licenses/by/4.0/
AnVIL Collection	https://docs.google.com/presentation/d/1FmFO5URoe_Eh1kL22fFBBM0p9crXg29xpkfhE5677_s/edit?usp=sharing
AnVIL Collection	https://docs.google.com/presentation/d/1KdOVMq-BzMjEBVCuWNVA4joTB7CpUu59uWy3SK1zeXY/edit?usp=sharing
AnVIL Collection	https://docs.google.com/presentation/d/1Xcvxnm-PW0uhAWEOSpG2SOzvo3f9Zno2tnNkdzVR2ZE/edit?usp=sharing
AnVIL Collection	https://docs.google.com/presentation/d/1eypYLLqD11-NwHLs4adGpcuSB07dYEJfAaALSMvgzqw/edit?usp=sharing
AnVIL Collection	https://docs.google.com/presentation/d/1xps-CJbFGxoGy0vAWwSyT2nF3yuUSyNtYm8WGoVBSk8/edit?usp=sharing
AnVIL Collection	https://forms.gle/AK12iVXTjsB7yCUUA
AnVIL Collection	https://github.com/fhdsl/AnVIL_WDLs/tree/main
AnVIL Collection	https://github.com/fhdsl/BioDIGSData
AnVIL Collection	https://jhudatascience.org/AnVIL_Book_Champions/
AnVIL Collection	https://jhudatascience.org/AnVIL_Book_Getting_Started
AnVIL Collection	https://jhudatascience.org/AnVIL_Book_Instructor_Guide
AnVIL Collection	https://jhudatascience.org/AnVIL_Book_WDL
AnVIL Collection	https://jhudatascience.org/AnVIL_CoFests_2024
AnVIL Collection	https://jhudatascience.org/AnVIL_CoFests_2025/
AnVIL Collection	https://jhudatascience.org/AnVIL_Phylogenetic-Techniques/
AnVIL Collection	https://jhudatascience.org/GDSCN_Book_SARS_Galaxy_on_AnVIL/
AnVIL Collection	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_Differential_Expression/
AnVIL Collection	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_PCA/
AnVIL Collection	https://jhudatascience.org/GDSCN_Book_swirl/
AnVIL Collection	https://www.youtube.com/@anvilproject1223
AnVIL Collection	https://www.youtube.com/@anvilprojectorg
AnVIL Collection	https://www.youtube.com/watch?v=3YXlF1mbsWI&list=PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio
AnVIL Collection	https://www.youtube.com/watch?v=7qvQ8DZHC9w&list=PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio
AnVIL Collection	https://www.youtube.com/watch?v=BVmOtH04qhI&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Collection	https://www.youtube.com/watch?v=fcMUU7NrEeM&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Collection	https://www.youtube.com/watch?v=loApm3jUkG0&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Collection	https://www.youtube.com/watch?v=wXceBLcNj4s&list=PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio
AnVIL_Book_WDL	
AnVIL_Book_WDL	https://anvilproject.org/
AnVIL_Book_WDL	https://dockstore.org/
AnVIL_Outreach_Dashboard	
Data_on_AnVIL	
Data_on_AnVIL	https://anvilproject.org/
